state,population,national_tv_cost,local_tv_cost,havas_longform_tv_spend,sem_br_spend,sem_nb_spend,Average_Annual_All_Cancer_Count,Average_Annual_Breast_Cancer_Female_Count,Average_Annual_Lung_and_Bronchus_Cancers_Count,Average_Annual_Stomach_Cancer_Count,Female_Population,Male_Population,Total_Population
Alaska,243000,"$229,521.46 ",$0.00 ,"$19,652.01 ","$3,793.90 ","$168,850.30 ","2,669",417,342,48,"353,762","388,132","741,894"
Alabama,1928600,"$1,935,604.05 ","$1,950,806.12 ","$179,484.69 ","$33,654.21 ","$1,420,047.42 ","25,117","3,562","3,982",368,"2,507,714","2,355,586","4,863,300"
Arkansas,1178700,"$1,182,980.72 ","$477,126.14 ","$109,695.39 ","$20,203.19 ","$868,322.64 ","15,424","2,024","2,753",201,"1,520,375","1,467,873","2,988,248"
Arizona,2595800,"$2,605,227.13 ","$3,695,451.04 ","$241,577.47 ","$49,913.94 ","$1,905,773.75 ","28,575","4,307","3,820",399,"3,488,176","3,442,895","6,931,071"
California,13384600,"$13,433,208.76 ","$331,993.00 ","$1,245,634.35 ","$229,212.14 ","$9,290,116.43 ","159,459","25,035","16,888","2,941","19,756,656","19,493,361","39,250,017"
Colorado,2218000,"$2,226,055.21 ","$2,134.41 ","$206,417.60 ","$37,959.10 ","$1,547,760.80 ","21,606","3,508","2,266",286,"2,754,727","2,785,818","5,540,545"
Connecticut,1379900,"$1,384,911.24 ","$174,935.61 ","$128,420.03 ","$24,036.76 ","$1,016,760.59 ","20,298","3,153","2,669",351,"1,830,837","1,745,615","3,576,452"
District Of Columbia,312500,"$313,634.88 ","$102,793.32 ","$29,082.75 ","$5,386.77 ","$238,073.28 ","2,949",478,346,57,"357,940","323,230","681,170"
Delaware,365700,"$367,028.12 ","$167,201.72 ","$34,033.78 ","$6,910.92 ","$269,282.64 ","5,452",777,791,72,"491,395","460,670","952,065"
Florida,8173600,"$8,203,283.97 ","$381,566.28 ","$760,674.01 ","$141,815.25 ","$5,842,784.77 ","108,179","15,042","16,485","1,531","10,542,288","10,070,151","20,612,439"
Georgia,3854500,"$3,868,498.33 ","$3,306,890.20 ","$358,718.04 ","$68,317.33 ","$2,724,130.96 ","44,972","6,723","6,404",630,"5,289,906","5,020,465","10,310,371"
Hawaii,487800,"$489,571.53 ",$0.00 ,"$45,397.01 ","$8,282.32 ","$345,816.79 ","6,751","1,134",779,156,"710,942","717,615","1,428,557"
Iowa,1270200,"$1,274,812.99 ","$54,927.09 ","$118,210.80 ","$21,661.18 ","$937,024.03 ","17,092","2,304","2,397",180,"1,575,574","1,559,119","3,134,693"
Idaho,626000,"$628,273.41 ",$0.00 ,"$58,258.53 ","$10,716.53 ","$448,181.83 ","7,389","1,059",867,84,"839,608","843,532","1,683,140"
Illinois,4885800,"$4,903,543.66 ","$3,129,735.12 ","$454,695.71 ","$88,505.88 ","$3,597,563.07 ","65,111","9,733","9,329",995,"6,509,748","6,291,791","12,801,539"
Indiana,2575400,"$2,584,753.16 ","$724,195.99 ","$239,678.94 ","$45,295.30 ","$1,902,825.31 ","32,312","4,617","5,318",409,"3,363,491","3,269,562","6,633,053"
Kansas,1144100,"$1,148,254.97 ","$328,309.87 ","$106,475.36 ","$19,894.18 ","$839,980.77 ","14,568","2,036","1,980",167,"1,459,530","1,447,759","2,907,289"
Kentucky,1768500,"$1,774,922.69 ","$53,569.16 ","$164,585.02 ","$30,571.93 ","$1,278,987.45 ","25,610","3,283","4,851",326,"2,250,421","2,186,553","4,436,974"
Louisiana,1818400,"$1,825,003.87 ","$37,755.92 ","$169,228.94 ","$31,056.57 ","$1,267,397.18 ","23,840","3,266","3,515",370,"2,392,296","2,289,370","4,681,666"
Massachusetts,2682500,"$2,692,242.13 ",$0.00 ,"$249,646.21 ","$45,651.90 ","$1,875,751.83 ","35,831","5,612","4,983",525,"3,506,128","3,305,651","6,811,779"
Maryland,2263200,"$2,271,419.20 ","$395,199.14 ","$210,624.12 ","$39,216.55 ","$1,701,993.71 ","28,960","4,618","3,702",434,"3,101,981","2,914,466","6,016,447"
Maine,565500,"$567,553.69 ",$0.00 ,"$52,628.11 ","$9,655.65 ","$402,644.11 ","8,309","1,149","1,330",94,"678,894","652,585","1,331,479"
Michigan,3940100,"$3,954,409.23 ","$138,814.08 ","$366,684.42 ","$67,969.90 ","$2,849,971.95 ","53,133","7,460","7,875",754,"5,043,554","4,884,746","9,928,300"
Minnesota,2206200,"$2,214,212.14 ",$0.00 ,"$205,319.44 ","$37,421.31 ","$1,611,573.23 ","27,431","4,056","3,297",344,"2,772,322","2,747,630","5,519,952"
Missouri,2439500,"$2,448,359.45 ","$736,060.29 ","$227,031.39 ","$41,913.32 ","$1,780,010.99 ","31,677","4,644","5,351",377,"3,100,965","2,992,035","6,093,000"
Mississippi,1134700,"$1,138,820.86 ","$198,092.04 ","$105,600.58 ","$19,603.38 ","$815,268.38 ","15,351","2,021","2,528",228,"1,539,934","1,448,792","2,988,726"
Montana,441000,"$442,601.54 ",$0.00 ,"$41,041.52 ","$7,608.62 ","$313,169.39 ","5,520",779,720,59,"517,745","524,775","1,042,520"
North Carolina,4019300,"$4,033,896.82 ","$642,653.17 ","$374,055.12 ","$69,408.75 ","$2,940,975.61 ","50,022","7,583","7,704",701,"5,213,836","4,932,952","10,146,788"
North Dakota,327200,"$328,388.25 ",$0.00 ,"$30,450.82 ","$5,525.33 ","$237,520.92 ","3,556",479,471,48,"368,978","388,974","757,952"
Nebraska,760700,"$763,462.61 ",$0.00 ,"$70,794.34 ","$13,022.91 ","$558,645.83 ","9,248","1,308","1,242",107,"956,445","950,671","1,907,116"
New Hampshire,532300,"$534,233.11 ",$0.00 ,"$49,538.34 ","$9,075.46 ","$371,694.27 ","7,735","1,183","1,061",87,"673,935","660,860","1,334,795"
New Jersey,3294300,"$3,306,263.51 ","$1,737,908.55 ","$306,583.15 ","$58,862.79 ","$2,387,596.77 ","48,693","7,215","5,880",815,"4,576,725","4,367,744","8,944,469"
New Mexico,810200,"$813,142.43 ","$51,017.99 ","$75,401.02 ","$13,700.40 ","$579,672.45 ","8,812","1,383",971,157,"1,050,352","1,030,663","2,081,015"
Nevada,1097000,"$1,100,983.91 ",$0.00 ,"$102,092.00 ","$18,995.51 ","$792,314.05 ", N/A , N/A , N/A , N/A ,"1,466,061","1,473,997","2,940,058"
New York,7568400,"$7,595,886.23 ","$2,562,210.61 ","$704,351.22 ","$131,253.74 ","$5,419,534.99 ","106,489","15,358","13,588","1,952","10,157,924","9,587,365","19,745,289"
Ohio,4686100,"$4,703,118.44 ","$230,930.21 ","$436,110.70 ","$81,867.24 ","$3,402,697.82 ","61,732","8,866","9,659",870,"5,922,679","5,691,694","11,614,373"
Oklahoma,1543600,"$1,549,205.86 ","$2,060,008.54 ","$143,654.69 ","$28,870.23 ","$1,124,423.59 ","18,840","2,621","3,064",227,"1,979,658","1,943,903","3,923,561"
Oregon,1639400,"$1,645,353.82 ","$197,137.83 ","$152,570.35 ","$28,293.23 ","$1,134,521.38 ","20,046","3,038","2,682",253,"2,066,455","2,027,010","4,093,465"
Pennsylvania,5099200,"$5,117,719.22 ","$1,478,837.24 ","$474,555.78 ","$92,566.21 ","$3,749,637.90 ","76,894","10,770","10,673","1,067","6,523,033","6,261,194","12,784,227"
Rhode Island,418900,"$420,421.36 ",$0.00 ,"$38,984.83 ","$7,087.65 ","$296,057.60 ","5,965",866,881,99,"543,345","513,081","1,056,426"
South Carolina,1960400,"$1,967,519.57 ","$604,108.66 ","$182,444.13 ","$33,978.36 ","$1,433,041.90 ","24,837","3,719","3,801",372,"2,553,185","2,407,934","4,961,119"
South Dakota,349400,"$350,668.88 ",$0.00 ,"$32,516.82 ","$5,904.00 ","$256,355.10 ","4,330",633,578,52,"429,182","436,272","865,454"
Tennessee,2626100,"$2,635,637.16 ","$910,203.47 ","$244,397.35 ","$45,559.33 ","$1,938,006.81 ","33,972","4,782","5,716",432,"3,408,679","3,242,515","6,651,194"
Texas,10005200,"$10,041,535.79 ","$1,010,194.63 ","$931,131.38 ","$175,496.53 ","$7,144,695.79 ","100,671","14,854","13,123","1,646","14,031,164","13,831,432","27,862,596"
Utah,978500,"$982,053.66 ",$0.00 ,"$91,063.85 ","$16,584.29 ","$674,624.39 ","9,590","1,402",633,102,"1,515,323","1,535,894","3,051,217"
Virginia,3242600,"$3,254,376.25 ","$573,144.74 ","$301,771.74 ","$56,117.79 ","$2,397,534.34 ","37,229","6,054","5,309",547,"4,274,994","4,136,814","8,411,808"
Vermont,261100,"$262,048.23 ",$0.00 ,"$24,299.21 ","$4,476.08 ","$186,808.60 ","3,586",532,522,37,"316,128","308,466","624,594"
Washington,2865300,"$2,875,705.89 ","$397,808.10 ","$266,658.40 ","$48,768.16 ","$2,022,369.42 ","34,291","5,337","4,345",452,"3,646,600","3,641,400","7,288,000"
Wisconsin,2354300,"$2,362,850.21 ","$342,475.20 ","$219,102.33 ","$40,673.03 ","$1,703,049.42 ","30,620","4,395","4,103",428,"2,905,282","2,873,426","5,778,708"
West Virginia,763200,"$765,971.66 ","$99,904.46 ","$71,027.03 ","$13,398.83 ","$556,191.12 ","11,275","1,422","2,011",156,"925,159","905,943","1,831,102"
Wyoming,240300,"$212,385.01 ",$0.00 ,"$22,363.44 ","$3,901.32 ","$151,910.37 ","2,581",365,293,33,"286,559","298,942","585,501"
